,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,Valid,Invalid,Stimuli,StimPresented,PressCorrect,ResponseMatrix,ActualKeyPressed,Accuracy,RT,FeedbackType,runStart,ImagePresent,StimTime,RespOnset,AccCount,subject,StimRep
0,0,APRespITI,2,1,0,0,0,0,1,4,12,k,3,0,0,,0,5538,1.49E+12,1.49E+12,,0,10,0
1,1,APRespITI,2,2,1,1,0,1,0,3,11,k,3,0,0,,0,5538,1.49E+12,1.49E+12,,0,10,2
2,2,APResp,2,3,2,2,0,0,1,2,2,a,1,a,1,642,1,5538,1.49E+12,1.49E+12,1.49E+12,1,10,2
3,3,APRespITI,2,4,3,3,0,0,1,3,15,l,4,0,0,642,0,5538,1.49E+12,1.49E+12,1.49E+12,1,10,2
4,4,APResp,2,5,4,4,0,1,0,3,11,k,3,k,1,666,1,5538,1.49E+12,1.49E+12,1.49E+12,2,10,2
5,5,APResp,2,6,5,5,0,0,1,4,4,a,1,a,1,539,1,5538,1.49E+12,1.49E+12,1.49E+12,3,10,2
6,6,APRespITI,2,7,6,6,0,0,1,1,13,l,4,0,0,539,0,5538,1.49E+12,1.49E+12,1.49E+12,3,10,2
7,7,APRespITI,2,8,7,7,0,0,1,1,5,s,2,0,0,539,0,5538,1.49E+12,1.49E+12,1.49E+12,3,10,2
8,8,APResp,2,9,8,8,0,1,0,1,1,a,1,a,1,539,1,5538,1.49E+12,1.49E+12,1.49E+12,4,10,2
9,9,APResp,2,10,9,9,0,0,1,2,10,k,3,l,0,740,2,5538,1.49E+12,1.49E+12,1.49E+12,4,10,2
10,10,APResp,2,11,10,10,0,0,1,2,2,a,1,a,1,571,1,5538,1.49E+12,1.49E+12,1.49E+12,5,10,2
11,11,APResp,2,12,11,11,0,0,1,4,8,s,2,s,1,748,1,5538,1.49E+12,1.49E+12,1.49E+12,6,10,2
12,12,APResp,2,13,12,12,0,1,0,1,1,a,1,a,1,630,1,5538,1.49E+12,1.49E+12,1.49E+12,7,10,2
13,13,APResp,2,14,13,13,0,0,1,3,15,l,4,l,1,374,1,5538,1.49E+12,1.49E+12,1.49E+12,8,10,2
14,14,APResp,2,15,14,14,0,1,0,4,16,l,4,l,1,526,1,5538,1.49E+12,1.49E+12,1.49E+12,9,10,2
15,15,APRespITI,2,16,15,15,0,0,1,4,8,s,2,0,0,526,0,5538,1.49E+12,1.49E+12,1.49E+12,9,10,2
16,16,APResp,2,17,16,16,0,0,1,4,12,k,3,l,0,727,2,5538,1.49E+12,1.49E+12,1.49E+12,9,10,2
17,17,APResp,2,18,17,17,0,1,0,1,1,a,1,a,1,479,1,5538,1.49E+12,1.49E+12,1.49E+12,10,10,2
18,18,APResp,2,19,18,18,0,1,0,4,16,l,4,l,1,416,1,5538,1.49E+12,1.49E+12,1.49E+12,11,10,2
19,19,APResp,2,20,19,19,0,0,1,1,13,l,4,l,1,599,1,5538,1.49E+12,1.49E+12,1.49E+12,12,10,2
20,20,APResp,2,21,20,20,0,0,1,1,5,s,2,s,1,544,1,5538,1.49E+12,1.49E+12,1.49E+12,13,10,2
21,21,APResp,2,22,21,21,0,1,0,4,16,l,4,l,1,481,1,5538,1.49E+12,1.49E+12,1.49E+12,14,10,2
22,22,APRespITI,2,23,22,22,0,0,1,1,9,k,3,0,0,481,0,5538,1.49E+12,1.49E+12,1.49E+12,14,10,2
23,23,APResp,2,24,23,23,0,1,0,4,16,l,4,l,1,504,1,5538,1.49E+12,1.49E+12,1.49E+12,15,10,2
24,24,APResp,2,25,24,24,0,0,1,1,5,s,2,s,1,586,1,5538,1.49E+12,1.49E+12,1.49E+12,16,10,2
25,25,APResp,2,26,25,25,0,0,1,1,9,k,3,l,0,625,2,5538,1.49E+12,1.49E+12,1.49E+12,16,10,2
26,26,APResp,2,27,26,26,0,1,0,2,6,s,2,s,1,521,1,5538,1.49E+12,1.49E+12,1.49E+12,17,10,2
27,27,APResp,2,28,27,27,0,0,1,2,10,k,3,k,1,611,1,5538,1.49E+12,1.49E+12,1.49E+12,18,10,2
28,28,APResp,2,29,28,28,0,0,1,1,5,s,2,s,1,626,1,5538,1.49E+12,1.49E+12,1.49E+12,19,10,2
29,29,APResp,2,30,29,29,0,0,1,3,7,s,2,s,1,562,1,5538,1.49E+12,1.49E+12,1.49E+12,20,10,2
30,30,APResp,2,31,30,30,0,0,1,4,8,s,2,s,1,540,1,5538,1.49E+12,1.49E+12,1.49E+12,21,10,2
31,31,APResp,2,32,31,31,0,1,0,2,6,s,2,s,1,579,1,5538,1.49E+12,1.49E+12,1.49E+12,22,10,2
32,32,APResp,2,33,32,32,0,0,1,3,7,s,2,s,1,539,1,5538,1.49E+12,1.49E+12,1.49E+12,23,10,2
33,33,APResp,2,34,33,33,0,0,1,2,2,a,1,a,1,581,1,5538,1.49E+12,1.49E+12,1.49E+12,24,10,2
34,34,APResp,2,35,34,34,0,0,1,3,3,a,1,a,1,541,1,5538,1.49E+12,1.49E+12,1.49E+12,25,10,2
35,35,APResp,2,36,35,35,0,0,1,2,10,k,3,k,1,564,1,5538,1.49E+12,1.49E+12,1.49E+12,26,10,2
36,36,APResp,2,37,36,36,0,0,1,4,4,a,1,a,1,590,1,5538,1.49E+12,1.49E+12,1.49E+12,27,10,2
37,37,APResp,2,38,37,37,0,1,0,3,11,k,3,k,1,533,1,5538,1.49E+12,1.49E+12,1.49E+12,28,10,2
38,38,APResp,2,39,38,38,0,1,0,1,1,a,1,a,1,556,1,5538,1.49E+12,1.49E+12,1.49E+12,29,10,2
39,39,APResp,2,40,39,39,0,0,1,4,12,k,3,k,1,461,1,5538,1.49E+12,1.49E+12,1.49E+12,30,10,2
40,40,APResp,2,41,40,40,0,0,1,2,14,l,4,l,1,557,1,5538,1.49E+12,1.49E+12,1.49E+12,31,10,2
41,41,APResp,2,42,41,41,0,0,1,3,3,a,1,a,1,471,1,5538,1.49E+12,1.49E+12,1.49E+12,32,10,2
42,42,APResp,2,43,42,42,0,0,1,1,13,l,4,l,1,542,1,5538,1.49E+12,1.49E+12,1.49E+12,33,10,2
43,43,APResp,2,44,43,43,0,0,1,4,8,s,2,s,1,575,1,5538,1.49E+12,1.49E+12,1.49E+12,34,10,2
44,44,APResp,2,45,44,44,0,0,1,3,7,s,2,s,1,606,1,5538,1.49E+12,1.49E+12,1.49E+12,35,10,2
45,45,APResp,2,46,45,45,0,0,1,4,12,k,3,k,1,584,1,5538,1.49E+12,1.49E+12,1.49E+12,36,10,2
46,46,APResp,2,47,46,46,0,0,1,2,14,l,4,l,1,463,1,5538,1.49E+12,1.49E+12,1.49E+12,37,10,2
47,47,APResp,2,48,47,47,0,0,1,2,10,k,3,k,1,462,1,5538,1.49E+12,1.49E+12,1.49E+12,38,10,2
48,48,APResp,2,49,48,48,0,0,1,1,13,l,4,l,1,453,1,5538,1.49E+12,1.49E+12,1.49E+12,39,10,2
49,49,APResp,2,50,49,49,0,0,1,2,14,l,4,l,1,627,1,5538,1.49E+12,1.49E+12,1.49E+12,40,10,2
50,50,APResp,2,51,50,50,0,0,1,3,3,a,1,a,1,596,1,5538,1.49E+12,1.49E+12,1.49E+12,41,10,2
51,51,APResp,2,52,51,51,0,0,1,2,14,l,4,l,1,517,1,5538,1.49E+12,1.49E+12,1.49E+12,42,10,2
52,52,APResp,2,53,52,52,0,1,0,3,11,k,3,k,1,579,1,5538,1.49E+12,1.49E+12,1.49E+12,43,10,2
53,53,APResp,2,54,53,53,0,0,1,4,4,a,1,a,1,538,1,5538,1.49E+12,1.49E+12,1.49E+12,44,10,2
54,54,APResp,2,55,54,54,0,0,1,3,7,s,2,s,1,514,1,5538,1.49E+12,1.49E+12,1.49E+12,45,10,2
55,55,APResp,2,56,55,55,0,0,1,3,3,a,1,a,1,594,1,5538,1.49E+12,1.49E+12,1.49E+12,46,10,2
