,Unnamed: 0,TypeOfResponse,Version,LogCounter,TrialCounter,MatrixCounter,RunCounter,CongruentCounter,IncongruentCounter,StimPresented,StimProbAll,TrialType,CongruentNumber,IncongruentNumber,PressCorrect,ResponseMatrix,ActualKeyPressed,Accuracy,RT,FeedbackType,runStart,ImagePresent,StimTime,RespOnset,AccCount,subject,StimRep,Sequential
0,0,SCTResp,2,1,0,0,0,0,1,4,7,1,,10,x,2,x,1,951,0,2783,1.49E+12,1.49E+12,1.49E+12,1,10,0,0
1,1,SCTResp,2,2,1,1,0,1,0,1,4,2,4,10,m,4,m,1,654,0,2783,1.49E+12,1.49E+12,1.49E+12,2,10,2,2
2,2,SCTResp,2,3,2,2,0,1,0,2,5,2,3,10,x,2,x,1,684,0,2783,1.49E+12,1.49E+12,1.49E+12,3,10,0,0
3,3,SCTResp,2,4,3,3,0,1,0,1,4,2,2,10,n,3,n,1,716,0,2783,1.49E+12,1.49E+12,1.49E+12,4,10,0,0
4,4,SCTResp,2,5,4,4,0,0,1,2,1,1,2,8,z,1,z,1,609,0,2783,1.49E+12,1.49E+12,1.49E+12,5,10,2,1
5,5,SCTResp,2,6,5,5,0,0,1,4,7,1,2,6,m,4,m,1,648,0,2783,1.49E+12,1.49E+12,1.49E+12,6,10,0,0
6,6,SCTResp,2,7,6,6,0,0,1,1,0,1,2,8,z,1,z,1,655,0,2783,1.49E+12,1.49E+12,1.49E+12,7,10,0,0
7,7,SCTResp,2,8,7,7,0,1,0,2,5,2,1,8,z,1,z,1,501,0,2783,1.49E+12,1.49E+12,1.49E+12,8,10,2,2
8,8,SCTResp,2,9,8,8,0,0,1,3,6,1,1,13,x,2,x,1,829,0,2783,1.49E+12,1.49E+12,1.49E+12,9,10,2,1
9,9,SCTResp,2,10,9,9,0,1,0,4,3,2,2,13,n,3,n,1,554,0,2783,1.49E+12,1.49E+12,1.49E+12,10,10,2,2
10,10,SCTResp,2,11,10,10,0,1,0,3,2,2,4,13,m,4,m,1,505,0,2783,1.49E+12,1.49E+12,1.49E+12,11,10,0,0
11,11,SCTResp,2,12,11,11,0,1,0,2,5,2,3,13,x,2,x,1,761,0,2783,1.49E+12,1.49E+12,1.49E+12,12,10,0,0
