version,subjID,Mem1,Mem2,Mem3,Mem4,ExplicitMem,Q1_SS_SystematicVariation,"If so, what?",Q2,Q3,Q4,ExplicitTaskAwareness,Q1_SC_SystematicVariation,Q1_SCT_SystematicVariation,Q2_SceneSkyPresence,Q2_SceneColorScheme,Q2_SceneTreeFrequency,Q2_ImageType,Q2_FeatureType,Q2_LightType,Q3_SC_ForcedChoicePerformance,Q3_SCT_ForcedChoicePerformance,Q3_SC1,Q3_SC2,Q3_SC3,Q3_SC4,Q3_SC_ForcedChoicePerformance,Q3_SCT1,Q3_SCT2,Q3_SCT3,Q3_SCT4,Q3_SCT_ForcedChoicePerformance
2,61,0,0,1,0,1,0,,0,0,1,1,0,0,50,50,50,50,50,50,2,2,1,0,1,0,2,0,1,0,1,2
1,62,1,0,1,0,2,0,,0,0,0,0,0,0,52,63,52,52,52,39,4,4,1,1,1,1,4,1,1,1,1,4
2,63,1,0,1,0,2,1,Red colors scene and face.,1,0,0,1,0,1,44,81,11,48,25,77,2,4,1,0,0,1,2,1,1,1,1,4
2,64,0,1,0,0,1,0,,0,1,0,1,0,0,40,50,60,67,43,50,2,2,1,0,0,1,2,0,1,1,0,2
4,65,1,1,1,1,4,1,Each face and house was typically paired with a specific nature scene.,1,1,1,3,0,0,71,50,47,50,44,56,4,4,1,1,1,1,4,1,1,1,1,4
2,66,0,0,1,0,1,0,,0,1,0,1,0,0,78,80,84,74,81,90,4,0,1,1,1,1,4,0,0,0,0,0
1,67,1,1,1,1,4,1,the people's faces tended to be with the mountain and canyon and the houses went with the water fall and forest.,0,0,0,0,0,0,50,50,50,50,50,50,4,0,1,1,1,1,4,0,0,0,0,0
2,68,1,1,0,0,2,0,,0,1,1,2,1,1,50,50,51,50,50,50,2,2,0,1,0,1,2,1,0,0,1,2
4,69,1,1,0,0,2,0,,0,0,0,0,0,0,50,50,50,50,50,51,1,2,0,1,0,0,1,1,0,0,1,2
3,70,1,1,1,1,4,1,certain faces would go before certain pictures,1,0,1,2,0,0,51,52,51,50,50,51,3,3,1,0,1,1,3,1,0,1,1,3
4,71,1,1,1,1,4,1,the pictures and the houses matched up with the other pics most times,1,1,1,3,0,0,35,50,27,60,36,45,2,1,1,0,0,1,2,0,1,0,0,1
3,72,1,1,1,1,4,0,,0,0,0,0,0,0,50,50,50,50,50,50,2,2,0,1,1,0,2,0,1,0,1,2
3,73,1,1,1,1,4,0,,0,0,0,0,0,0,87,85,51,61,57,51,1,2,0,1,0,0,1,0,1,0,1,2
1,74,1,1,1,1,4,1,The scenes were more likely to come up following a specific image. Dark hair = mountain. Light hair= canyon. small house = waterfall. big house = forest.,1,0,0,1,0,0,58,50,42,67,34,34,2,2,0,1,1,0,2,0,1,1,0,2
4,75,0,1,0,0,1,1,i think  repeat image same answer .,0,0,1,1,0,0,63,83,66,82,81,85,2,2,1,0,0,1,2,0,1,1,0,2
4,76,1,1,1,1,4,0,,0,0,0,0,0,0,50,50,50,50,50,50,2,2,0,1,1,0,2,1,0,0,1,2
3,77,1,1,1,1,4,0,,0,0,0,0,0,0,35,51,53,49,49,49,4,2,1,1,1,1,4,0,1,0,1,2
1,78,1,1,0,1,3,0,,0,1,1,2,0,0,51,52,51,50,50,52,2,2,1,0,0,1,2,0,1,0,1,2
4,79,0,0,1,1,2,1,The waterfall seemed to occur more with the same following card.,0,1,0,1,0,0,83,50,35,49,68,32,4,4,1,1,1,1,4,1,1,1,1,4
2,80,1,0,0,1,2,1,The photos and scenes matched certain others about 75% of the time.,0,1,1,2,0,0,45,68,51,35,9,29,0,0,0,0,0,0,0,0,0,0,0,0
2,81,1,1,1,1,4,0,,0,0,0,0,0,0,1,1,1,50,50,51,2,1,0,1,1,0,2,1,0,0,0,1
2,82,1,1,1,1,4,0,,0,0,0,0,1,1,56,23,9,35,25,30,4,2,1,1,1,1,4,1,0,0,1,2
1,83,0,0,1,0,1,0,,0,1,1,2,0,0,23,61,44,56,16,0,4,2,1,1,1,1,4,0,1,1,0,2
3,84,0,0,0,0,0,0,,0,0,0,0,0,0,50,50,50,50,50,50,2,2,0,1,1,0,2,0,1,0,1,2
3,85,1,0,0,0,1,0,,0,0,1,1,0,0,2,8,8,0,0,0,1,2,1,0,0,0,1,1,1,0,0,2
